Symbol,Sector,Raw_Sector,Raw_Industry
MAHLOG.NS,Logistics,Industrials,Integrated Freight & Logistics
MAPMYINDIA.NS,IT,Technology,Software - Infrastructure
MASTEK.NS,IT,Technology,Information Technology Services
MHRIL.NS,General,Consumer Cyclical,Resorts & Casinos
MINDACORP.NS,Auto,Consumer Cyclical,Auto Parts
MMTC.NS,General,Industrials,Conglomerates
MSTCLTD.NS,General,Industrials,Conglomerates
MTARTECH.NS,Capital Goods,Industrials,Specialty Industrial Machinery
NCC.NS,Infra,Industrials,Engineering & Construction
NETWEB.NS,IT,Technology,Computer Hardware
NETWORK18.NS,Media,Communication Services,Entertainment
NOCIL.NS,Chemicals,Basic Materials,Specialty Chemicals
NURECA.NS,Healthcare,Healthcare,Medical Devices
ORCHPHARMA.NS,Pharma,Healthcare,Drug Manufacturers - Specialty & Generic
ORIENTELEC.NS,Consumer Durables,Consumer Cyclical,"Furnishings, Fixtures & Appliances"
PARAS.NS,Defense,Industrials,Aerospace & Defense
PCBL.NS,Chemicals,Basic Materials,Specialty Chemicals
PPLPHARMA.NS,Pharma,Healthcare,Drug Manufacturers - Specialty & Generic
PRICOLLTD.NS,Auto,Consumer Cyclical,Auto Parts
PRUDENT.NS,NBFC,Financial Services,Asset Management
PUNJABCHEM.NS,Chemicals,Basic Materials,Chemicals
RAIN.NS,Chemicals,Basic Materials,Specialty Chemicals
RAYMOND.NS,Capital Goods,Industrials,Specialty Industrial Machinery
RCF.NS,General,Basic Materials,Agricultural Inputs
RELIANCEP.NS,General,Unknown,Unknown
RHIM.NS,General,Industrials,Metal Fabrication
RITES.NS,Infra,Industrials,Engineering & Construction
ROLEXTURBO.NS,General,Unknown,Unknown
ROSSARI.NS,Chemicals,Basic Materials,Specialty Chemicals
ROUTE.NS,Telecom,Communication Services,Telecom Services
RTNINDIA.NS,Retail,Consumer Cyclical,Internet Retail
SANOFI.NS,Pharma,Healthcare,Drug Manufacturers - General
SAPPHIRE.NS,Services,Consumer Cyclical,Restaurants
SARDAEN.NS,Metals,Basic Materials,Steel
SDBL.NS,FMCG,Consumer Defensive,Beverages - Brewers
SHARDACROP.NS,General,Basic Materials,Agricultural Inputs
SHOPERSTOP.NS,Retail,Consumer Cyclical,Department Stores
SHYAMMETL.NS,Metals,Basic Materials,Steel
SIGACHI.NS,Pharma,Healthcare,Drug Manufacturers - Specialty & Generic
SOUTHBANK.NS,Banking,Financial Services,Banks - Regional
SPARC.NS,Pharma,Healthcare,Drug Manufacturers - Specialty & Generic
STERTOOLS.NS,General,Industrials,Tools & Accessories
SUBROS.NS,Auto,Consumer Cyclical,Auto Parts
SUNTECK.NS,Realty,Real Estate,Real Estate - Development
SUPRIYA.NS,Pharma,Healthcare,Biotechnology
TATAINVEST.NS,NBFC,Financial Services,Capital Markets
TDPOWERSYS.NS,Capital Goods,Industrials,Specialty Industrial Machinery
TEJASNET.NS,IT,Technology,Communication Equipment
TEXRAIL.NS,Logistics,Industrials,Railroads
THOMASCOOK.NS,Services,Consumer Cyclical,Travel Services
TV18BRDCST.NS,General,Unknown,Unknown
UJJIVANSFB.NS,Banking,Financial Services,Banks - Regional
USHAMART.NS,Metals,Basic Materials,Steel
UTIAMC.NS,NBFC,Financial Services,Asset Management
VAIBHAVGBL.NS,General,Consumer Cyclical,Luxury Goods
VAKRANGEE.NS,IT,Technology,Information Technology Services
VARROC.NS,Auto,Consumer Cyclical,Auto Parts
VENKEYS.NS,General,Consumer Defensive,Farm Products
VESUVIUS.NS,Capital Goods,Industrials,Specialty Industrial Machinery
VIJAYA.NS,General,Healthcare,Diagnostics & Research
VIPIND.NS,Textiles,Consumer Cyclical,Footwear & Accessories
VSTIND.NS,FMCG,Consumer Defensive,Tobacco
WELCORP.NS,Metals,Basic Materials,Steel
WELSPUNLIV.NS,Textiles,Consumer Cyclical,Textile Manufacturing
WESTLIFE.NS,Services,Consumer Cyclical,Restaurants
WOCKPHARMA.NS,Pharma,Healthcare,Drug Manufacturers - Specialty & Generic
ZENTEC.NS,Defense,Industrials,Aerospace & Defense
